NR_144567-MALAT1,NM_000396.3-CTSK
NR_144568-MALAT1,NM_000396.3-CTSK
NR_002819-MALAT1,NM_001335.3-CTSW
NR_144567-MALAT1,NM_001335.3-CTSW
NR_144568-MALAT1,NM_001335.3-CTSW
NR_028272-NEAT1,NM_001335.3-CTSW
NR_131012-NEAT1,NM_001335.3-CTSW
NR_028272-NEAT1,NM_001336.3-CTSZ
NR_131012-NEAT1,NM_001336.3-CTSZ
NR_002819-MALAT1,NM_002994.4-CXCL5
NR_144567-MALAT1,NM_002994.4-CXCL5
NR_144568-MALAT1,NM_002994.4-CXCL5
NR_002819-MALAT1,NM_023935.2-DDRGK1
NR_144567-MALAT1,NM_023935.2-DDRGK1
NR_144568-MALAT1,NM_023935.2-DDRGK1
NR_002819-MALAT1,NM_004818.2-DDX23
NR_144567-MALAT1,NM_004818.2-DDX23
NR_144568-MALAT1,NM_004818.2-DDX23
NR_002819-MALAT1,NM_014762.3-DHCR24
NR_144567-MALAT1,NM_014762.3-DHCR24
NR_144568-MALAT1,NM_014762.3-DHCR24
NR_002819-MALAT1,NM_144683.3-DHRS13
NR_144567-MALAT1,NM_144683.3-DHRS13
NR_144568-MALAT1,NM_144683.3-DHRS13
NR_028272-NEAT1,NM_144683.3-DHRS13
NR_131012-NEAT1,NM_144683.3-DHRS13
NR_152588-DIO3OS,NM_001362.3-DIO3
NR_152589-DIO3OS,NM_001362.3-DIO3
NR_152590-DIO3OS,NM_001362.3-DIO3
NR_152591-DIO3OS,NM_001362.3-DIO3
NR_152592-DIO3OS,NM_001362.3-DIO3
NR_152593-DIO3OS,NM_001362.3-DIO3
NR_002766-MEG3,NM_019074.3-DLL4
NR_003530-MEG3,NM_019074.3-DLL4
NR_003531-MEG3,NM_019074.3-DLL4
NR_033358-MEG3,NM_019074.3-DLL4
NR_033359-MEG3,NM_019074.3-DLL4
NR_033360-MEG3,NM_019074.3-DLL4
NR_046464-MEG3,NM_019074.3-DLL4
NR_046465-MEG3,NM_019074.3-DLL4
NR_046466-MEG3,NM_019074.3-DLL4
NR_046467-MEG3,NM_019074.3-DLL4
NR_046469-MEG3,NM_019074.3-DLL4
NR_046470-MEG3,NM_019074.3-DLL4
NR_046471-MEG3,NM_019074.3-DLL4
NR_046472-MEG3,NM_019074.3-DLL4
NR_046473-MEG3,NM_019074.3-DLL4
NR_028272-NEAT1,NM_005220.2-DLX3
NR_131012-NEAT1,NM_005220.2-DLX3
NR_002819-MALAT1,NM_004943.1-DMWD
NR_144567-MALAT1,NM_004943.1-DMWD
NR_144568-MALAT1,NM_004943.1-DMWD
NR_028272-NEAT1,NM_004943.1-DMWD
NR_131012-NEAT1,NM_004943.1-DMWD
NR_028272-NEAT1,NM_080750.4-DPH3P1
NR_131012-NEAT1,NM_080750.4-DPH3P1
NR_028272-NEAT1,NM_003863.3-DPM2
NR_131012-NEAT1,NM_003863.3-DPM2
